Top 20 Sort By Count
Count     Total      Mean    Stddev     Min     Max   2xx  3xx  4xx  5xx  Request
 5360   477.798  0.089141  0.533657   0.000   5.250  5323    0   37    0  ^GET /img
  834  3378.820  4.051343  1.496705   0.052   5.272   299    0  535    0  ^GET /rooms
  616  3346.954  5.433367  2.978048   0.238  13.349   460    0  156    0  ^GET /api/stream/rooms/
  167   490.594  2.937689  1.790480   0.153   5.256   101    0   66    0  GET / HTTP/1.1
  152   287.982  1.894618  1.895845   0.006   5.301   126    0   26    0  ^POST /api/strokes/rooms
   57     0.000  0.000000  0.000000   0.000   0.000    57    0    0    0  GET /css/sanitize.css HTTP/1.1
   57     0.000  0.000000  0.000000   0.000   0.000    57    0    0    0  GET /css/rc-color-picker.css HTTP/1.1
   57     3.474  0.060947  0.020532   0.031   0.114    57    0    0    0  GET /bundle.js HTTP/1.1
   28    40.662  1.452214  1.525537   0.033   4.691    28    0    0    0  ^GET /api/rooms
   26     0.718  0.027615  0.044466   0.003   0.182    26    0    0    0  ^POST /api/rooms

Top 20 Sort By Total
Count     Total      Mean    Stddev     Min     Max   2xx  3xx  4xx  5xx  Request
  834  3378.820  4.051343  1.496705   0.052   5.272   299    0  535    0  ^GET /rooms
  616  3346.954  5.433367  2.978048   0.238  13.349   460    0  156    0  ^GET /api/stream/rooms/
  167   490.594  2.937689  1.790480   0.153   5.256   101    0   66    0  GET / HTTP/1.1
 5360   477.798  0.089141  0.533657   0.000   5.250  5323    0   37    0  ^GET /img
  152   287.982  1.894618  1.895845   0.006   5.301   126    0   26    0  ^POST /api/strokes/rooms
   28    40.662  1.452214  1.525537   0.033   4.691    28    0    0    0  ^GET /api/rooms
   57     3.474  0.060947  0.020532   0.031   0.114    57    0    0    0  GET /bundle.js HTTP/1.1
   26     0.718  0.027615  0.044466   0.003   0.182    26    0    0    0  ^POST /api/rooms
   57     0.000  0.000000  0.000000   0.000   0.000    57    0    0    0  GET /css/rc-color-picker.css HTTP/1.1
   57     0.000  0.000000  0.000000   0.000   0.000    57    0    0    0  GET /css/sanitize.css HTTP/1.1

Top 20 Sort By Mean
Count     Total      Mean    Stddev     Min     Max   2xx  3xx  4xx  5xx  Request
  616  3346.954  5.433367  2.978048   0.238  13.349   460    0  156    0  ^GET /api/stream/rooms/
  834  3378.820  4.051343  1.496705   0.052   5.272   299    0  535    0  ^GET /rooms
  167   490.594  2.937689  1.790480   0.153   5.256   101    0   66    0  GET / HTTP/1.1
  152   287.982  1.894618  1.895845   0.006   5.301   126    0   26    0  ^POST /api/strokes/rooms
   28    40.662  1.452214  1.525537   0.033   4.691    28    0    0    0  ^GET /api/rooms
 5360   477.798  0.089141  0.533657   0.000   5.250  5323    0   37    0  ^GET /img
   57     3.474  0.060947  0.020532   0.031   0.114    57    0    0    0  GET /bundle.js HTTP/1.1
   26     0.718  0.027615  0.044466   0.003   0.182    26    0    0    0  ^POST /api/rooms
   57     0.000  0.000000  0.000000   0.000   0.000    57    0    0    0  GET /css/rc-color-picker.css HTTP/1.1
   57     0.000  0.000000  0.000000   0.000   0.000    57    0    0    0  GET /css/sanitize.css HTTP/1.1

Top 20 Sort By Standard Deviation
Count     Total      Mean    Stddev     Min     Max   2xx  3xx  4xx  5xx  Request
  616  3346.954  5.433367  2.978048   0.238  13.349   460    0  156    0  ^GET /api/stream/rooms/
  152   287.982  1.894618  1.895845   0.006   5.301   126    0   26    0  ^POST /api/strokes/rooms
  167   490.594  2.937689  1.790480   0.153   5.256   101    0   66    0  GET / HTTP/1.1
   28    40.662  1.452214  1.525537   0.033   4.691    28    0    0    0  ^GET /api/rooms
  834  3378.820  4.051343  1.496705   0.052   5.272   299    0  535    0  ^GET /rooms
 5360   477.798  0.089141  0.533657   0.000   5.250  5323    0   37    0  ^GET /img
   26     0.718  0.027615  0.044466   0.003   0.182    26    0    0    0  ^POST /api/rooms
   57     3.474  0.060947  0.020532   0.031   0.114    57    0    0    0  GET /bundle.js HTTP/1.1
   57     0.000  0.000000  0.000000   0.000   0.000    57    0    0    0  GET /css/rc-color-picker.css HTTP/1.1
   57     0.000  0.000000  0.000000   0.000   0.000    57    0    0    0  GET /css/sanitize.css HTTP/1.1

Top 20 Sort By Maximum(100 Percentile)
Count     Total      Mean    Stddev     Min     Max   2xx  3xx  4xx  5xx  Request
  616  3346.954  5.433367  2.978048   0.238  13.349   460    0  156    0  ^GET /api/stream/rooms/
  152   287.982  1.894618  1.895845   0.006   5.301   126    0   26    0  ^POST /api/strokes/rooms
  834  3378.820  4.051343  1.496705   0.052   5.272   299    0  535    0  ^GET /rooms
  167   490.594  2.937689  1.790480   0.153   5.256   101    0   66    0  GET / HTTP/1.1
 5360   477.798  0.089141  0.533657   0.000   5.250  5323    0   37    0  ^GET /img
   28    40.662  1.452214  1.525537   0.033   4.691    28    0    0    0  ^GET /api/rooms
   26     0.718  0.027615  0.044466   0.003   0.182    26    0    0    0  ^POST /api/rooms
   57     3.474  0.060947  0.020532   0.031   0.114    57    0    0    0  GET /bundle.js HTTP/1.1
   57     0.000  0.000000  0.000000   0.000   0.000    57    0    0    0  GET /css/rc-color-picker.css HTTP/1.1
   57     0.000  0.000000  0.000000   0.000   0.000    57    0    0    0  GET /css/sanitize.css HTTP/1.1

TOP 0 Slow Requests
