Top 20 Sort By Count
Count     Total      Mean    Stddev    Min    Max    2xx  3xx  4xx  5xx  Request
12589   820.981  0.065214  0.335322  0.000  4.990  12579    0   10    0  ^GET /img
 4275  3691.372  0.863479  0.715653  0.002  9.070   4044    0  231    0  ^GET /api/stream/rooms/
  829  1805.864  2.178364  1.423763  0.035  5.000    721    0  108    0  ^GET /rooms
  237   161.772  0.682582  0.667389  0.004  4.210    235    0    2    0  ^POST /api/strokes/rooms
  195   417.563  2.141349  1.289154  0.106  4.991    182    0   13    0  GET / HTTP/1.1
  141     0.000  0.000000  0.000000  0.000  0.000    141    0    0    0  GET /css/rc-color-picker.css HTTP/1.1
  140     6.974  0.049814  0.065758  0.017  0.800    140    0    0    0  GET /bundle.js HTTP/1.1
  139     0.000  0.000000  0.000000  0.000  0.000    139    0    0    0  GET /css/sanitize.css HTTP/1.1
   39    36.218  0.928667  0.931552  0.017  3.654     38    0    1    0  ^GET /api/rooms
   26     0.611  0.023500  0.024979  0.003  0.087     26    0    0    0  ^POST /api/rooms
    1     0.000  0.000000  0.000000  0.000  0.000      1    0    0    0  GET /favicon.ico HTTP/1.1

Top 20 Sort By Total
Count     Total      Mean    Stddev    Min    Max    2xx  3xx  4xx  5xx  Request
 4275  3691.372  0.863479  0.715653  0.002  9.070   4044    0  231    0  ^GET /api/stream/rooms/
  829  1805.864  2.178364  1.423763  0.035  5.000    721    0  108    0  ^GET /rooms
12589   820.981  0.065214  0.335322  0.000  4.990  12579    0   10    0  ^GET /img
  195   417.563  2.141349  1.289154  0.106  4.991    182    0   13    0  GET / HTTP/1.1
  237   161.772  0.682582  0.667389  0.004  4.210    235    0    2    0  ^POST /api/strokes/rooms
   39    36.218  0.928667  0.931552  0.017  3.654     38    0    1    0  ^GET /api/rooms
  140     6.974  0.049814  0.065758  0.017  0.800    140    0    0    0  GET /bundle.js HTTP/1.1
   26     0.611  0.023500  0.024979  0.003  0.087     26    0    0    0  ^POST /api/rooms
  141     0.000  0.000000  0.000000  0.000  0.000    141    0    0    0  GET /css/rc-color-picker.css HTTP/1.1
  139     0.000  0.000000  0.000000  0.000  0.000    139    0    0    0  GET /css/sanitize.css HTTP/1.1
    1     0.000  0.000000  0.000000  0.000  0.000      1    0    0    0  GET /favicon.ico HTTP/1.1

Top 20 Sort By Mean
